의료기관명,설립구분,주소,전화번호,팩스번호,병상수,비  고
서울여성병원,개인,대전광역시 서구 문정로 7 (둔산동),042-488-8275,042-488-8276,78,
고운손병원,개인,대전광역시 서구 둔산서로 59 (둔산동),042-472-7445,,36,
가톨릭병원,개인,대전광역시 서구 도산로 351 (용문동),042-537-0222,042-537-0052,99,
의료법인삼영의료재단 둔산병원,의료법인,대전광역시 서구 대덕대로175번길 60 (둔산동),042-484-9300,,30,
사회복지법인 성재원 성세병원,사회복지법인,대전광역시 유성구 온천북로33번길 21-32 (봉명동),042-820-1234,042-820-1244,71,장애인의료재활
새손병원,개인,대전광역시 중구 계룡로 858 (오류동),042-535-1900,042-535-1902,91,
베스티안우송병원,개인,대전광역시 동구 동대전로 39 (신안동),042-620-7575,070-7858-1240,61,
바로세움병원,개인,대전광역시 서구 둔산남로 107 (둔산동),042-489-8888,042-489-8288,83,
대전센텀병원,개인,대전광역시 서구 청사로 234 (둔산동),042-481-0100,042-481-0105,118,
의료법인 의명의료재단 마음편한병원,의료법인,대전광역시 중구 중교로 32 (대흥동),042-222-2921,042-255-2921,299,정신
더블유여성병원,개인,대전광역시 서구 문정로48번길 70 (탄방동),042-485-7777,042-484-2200,48,
엠블병원,개인,"대전광역시 유성구 원신흥남로12번길 8-10, 3~7층 (원신흥동)",042-1899-3275,042-483-3275,71,
써지탑병원,개인,"대전광역시 서구 대덕대로 238, 4,5,6층 (둔산동)",042-484-9898,042-471-4488,78,
킴벨피부과병원,개인,대전광역시 서구 대덕대로 238 (둔산동),042-471-7575,042-471-7575,31,
글로벌튼튼병원,개인,대전광역시 동구 계족로 516 (용전동),042-220-2300,042-226-0128,112,
대전베스트정형외과병원,개인,대전광역시 서구 문예로 67 (둔산동),042-345-7700,042-345-7799,47,
비엔피병원,개인,대전광역시 유성구 계룡로 81 (봉명동),042-522-8275,042-522-9181 ,30,
마인드병원,개인,"대전광역시 서구 대덕대로242번길 48, 6~9층 (둔산동)",042-528-6550,042-528-6553,149,
코젤병원,개인,대전광역시 유성구 계룡로 150 (봉명동),042-829-0000,042-541-0097,55,
누리엘병원,개인,대전광역시 동구 동서대로 1641 (용전동),042-823-1785,042-716-1220,39,
바른생각병원,개인,대전광역시 서구 청사로 128 (월평동),042-337-0001,042-337-0006,70,
다빈치병원,개인,대전광역시 서구 계룡로553번길 60 (탄방동),042-1566-9852,042-332-0199,212,
탄탄병원,개인,대전광역시 서구 계룡로553번길 72 (탄방동),042-476-0001,042-476-2589,47,
미즈제일여성병원,개인,대전광역시 유성구 계룡로 126 (봉명동),042-821-0000,,58,
을지소아청소년과병원,개인,대전광역시 대덕구 송촌북로 60 (송촌동),042-605-0000,042-632-8445,70,
글로벌삼육오엠씨병원,개인,"대전광역시 서구 대덕대로 194, (둔산동)",042-488-3653,042-488-3649,30,
탄방엠블병원,개인,대전광역시 서구 문정로48번길 70 (탄방동),042-1899-2955,042-1899-2955,57,
대전본병원,개인,대전광역시 유성구 계룡로 114 (봉명동),042-361-0506,042-362-7588,64,
마라톤정형외과병원,개인,대전광역시 서구 둔산남로 87 (둔산동),042-719-1199,042-719-1099,84,
대전코젤병원,개인,대전광역시 유성구 계백로 927(원내동),042-520-0000,042-541-0097,73,
봉키병원,개인,"대전광역시 유성구 계룡로 120-0 (봉명동, (봉명동))",042-1522-6705,042-716-4005,75,
의료법인 밝은마음의료재단 워크런병원,의료법인,"대전광역시 유성구 온천동로 43-0 (봉명동,본관지하1~3층,9층/신관2~3층)",042-607-1234,042-607-1235,100,
