의료기관명,설립구분,주소,전화번호,팩스번호,병상수,비고
의료법인 정다운의료재단 나진요양병원,의료법인,대전광역시 서구 갈마로 122 (괴정동),042-525-3800, 042-526-3839 ,276,
의료법인대전석천의료재단 섬김요양병원,의료법인,대전광역시 중구 유천로 76 (유천동),042-522-6000, 042-535-9943 ,141,
의)밝은마음의료재단 유성한가족요양병원,의료법인,대전광역시 유성구 온천동로 43 (봉명동),042-611-9000, 042-611-9001 ,267,
의료법인고운손의료재단고운마음요양병원,의료법인,대전광역시 유성구 송림로 58 (하기동),042-820-9999, 042-820-9988 ,233,
대전광역시립제2노인전문병원,공립(시도립),대전광역시 동구 산내로 300 (하소동),042-272-9633, 042-272-9633 ,132,
다솜요양병원,개인,대전광역시 동구 우암로 234 (가양동),042-628-7535, 042-628-7534 ,172,
푸른요양병원,개인,대전광역시 서구 월평중로 24 (월평동),042-483-9975, 042-483-2229 ,134,
큰우리요양병원,개인,대전광역시 유성구 학하서로 99 (덕명동),042-522-1001, 042-526-1100 ,136,
의료법인나우리의료재단나우리요양병원,의료법인,대전광역시 유성구 진잠로 164 (원내동),042-546-8275, 042-541-1472 ,299,
의료법인 원전의료재단 가양요양병원,의료법인,대전광역시 동구 우암로 281 (가양동),042-634-7582, 042-634-7580 ,166,
부모사랑요양병원,개인,대전광역시 동구 우암로 159-159 (성남동),042-631-0100, 042-631-6100 ,174,
산내효요양병원,개인,대전광역시 동구 산내로1287번길 71-14 (낭월동),042-471-0007, 042-476-0007 ,192,
평화요양병원,개인,대전광역시 중구 대전천서로 745 (중촌동),042-250-9100, 042-250-9125 ,196,
대전그린의료소비자생활협동조합그린요양병원,의료소비자생활협동조합,대전광역시 동구 옥천로176번길 15-4 (판암동),042-274-9339, 042-274-9229 ,182,
둔산요양병원,개인,대전광역시 서구 둔산중로 38 (둔산동),042-719-7575, 042-487-7574 ,151,
벤조인요양병원,개인,대전광역시 유성구 지족로364번길 19 (지족동),042-823-1785, 042-824-1785 ,70,
대전보람요양병원,개인,대전광역시 중구 인창로 35 (문창동),042-242-9900, 042-223-3500 ,190,
성심요양병원,개인,대전광역시 서구 갈마로 45 (갈마동),042-533-8275, 042-533-8286 ,189,
대전동부요양병원,개인,대전광역시 동구 동부로 150 (용운동),042-368-2000, 042-368-2002 ,262,
보아스요양병원,개인,대전광역시 서구 도산로 224 (변동),042-537-2000, 042-537-2700 ,185,
온누리좋은요양병원,개인,대전광역시 서구 동서대로 1147 (가장동),042-719-1119, 042-719-1118 ,121,
대전웰니스요양병원,개인,대전광역시 대덕구 동서대로1777번길 2 (송촌동),042-712-8500, 042-712-8599 ,430,
남대전요양병원,개인,대전광역시 동구 산서로1660번길 142 (대별동),042-273-0900, 042-273-0990 ,196,
튼튼요양병원,개인,대전광역시 중구 목중로 9 (목동),042-259-9988, 042-224-0205 ,177,
백세요양병원,개인,대전광역시 중구 대종로 437 (대흥동),042-226-0101, 042-253-1033 ,210,
새봄요양병원,개인,대전광역시 동구 신기로 123-20 (가오동),042-283-2200, 042-283-2201 ,198,
중구의료소비자생활협동조합 보문산생태요양병원,의료소비자생활협동조합,대전광역시 중구 보문산공원로 473 (대사동),042-222-5567, 042-222-5568 ,93,
중부요양병원,개인,대전광역시 중구 계백로 1546(유천동),042-582-0075, 042-582-7006 ,199,
둔산엔젤요양병원,개인,대전광역시 서구 대덕대로 244(둔산동),042-710-6000, 042-710-6050 ,61,
